cameraID,imageName,objectID,Class
c003,000063.jpg,54,TrafficSign
c003,000064.jpg,55,Container
c003,000065.jpg,56,Crosswalk
c001,000066.jpg,57,RubbishBins
c003,000067.jpg,55,Container
c001,000068.jpg,58,TrafficSign
c003,000069.jpg,59,TrafficSign
c003,000070.jpg,60,Crosswalk
c004,000071.jpg,61,Container
c001,000072.jpg,62,TrafficSign
c003,000073.jpg,63,TrafficSign
c002,000074.jpg,64,TrafficSign
c003,000075.jpg,65,TrafficSign
c003,000076.jpg,66,TrafficSign
c003,000077.jpg,67,TrafficSign
c002,000078.jpg,68,Container
c003,000079.jpg,69,TrafficSign
c004,000080.jpg,55,Container
c004,000081.jpg,70,Container
c003,000082.jpg,5,TrafficSign
c002,000083.jpg,27,Container
c003,000084.jpg,71,Crosswalk
c004,000085.jpg,70,Container
c003,000086.jpg,24,TrafficSign
c002,000087.jpg,72,Container
c003,000088.jpg,27,Container
c002,000089.jpg,73,TrafficSign
c003,000090.jpg,70,Container
c003,000091.jpg,62,TrafficSign
c001,000092.jpg,24,TrafficSign
c003,000093.jpg,74,TrafficSign
c003,000094.jpg,75,TrafficSign
c001,000095.jpg,76,Container
c003,000096.jpg,77,TrafficSign
c001,000097.jpg,78,Crosswalk
c003,000098.jpg,21,TrafficSign
c003,000099.jpg,66,TrafficSign
c003,000100.jpg,49,TrafficSign
c002,000101.jpg,79,Crosswalk
c001,000102.jpg,80,TrafficSign
c001,000103.jpg,64,TrafficSign
c004,000104.jpg,81,Crosswalk
c004,000105.jpg,82,Container
c001,000106.jpg,83,TrafficSign
c001,000107.jpg,84,Crosswalk
c003,000108.jpg,85,Container
c003,000109.jpg,86,TrafficSign
c002,000110.jpg,87,Crosswalk
c003,000111.jpg,88,TrafficSign
c001,000112.jpg,89,TrafficSign
c003,000113.jpg,90,TrafficSign
c003,000114.jpg,91,TrafficSign
c004,000115.jpg,14,Crosswalk
c003,000116.jpg,92,TrafficSign
c001,000117.jpg,93,Crosswalk
c002,000118.jpg,23,Container
c001,000119.jpg,36,RubbishBins
c002,000120.jpg,94,TrafficSign
c003,000121.jpg,95,TrafficSign
c003,000122.jpg,55,Container
c003,000123.jpg,51,TrafficSign
c003,000124.jpg,96,TrafficSign
c001,000125.jpg,97,TrafficSign
c001,000126.jpg,98,TrafficSign
c001,000127.jpg,99,TrafficSign
c003,000128.jpg,92,TrafficSign
c003,000129.jpg,100,TrafficSign
c001,000130.jpg,101,TrafficSign
c004,000131.jpg,102,Container
c001,000132.jpg,103,TrafficSign
c002,000133.jpg,45,TrafficSign
c001,000134.jpg,104,Crosswalk
c003,000135.jpg,105,TrafficSign
c003,000136.jpg,78,Crosswalk
c003,000137.jpg,106,Crosswalk
c003,000138.jpg,107,TrafficSign
c001,000139.jpg,53,Crosswalk
c003,000140.jpg,45,TrafficSign
c002,000141.jpg,100,TrafficSign
c001,000142.jpg,90,TrafficSign
c003,000143.jpg,108,TrafficSign
c003,000144.jpg,73,TrafficSign
c003,000145.jpg,109,TrafficSign
c002,000146.jpg,110,Container
c001,000147.jpg,111,RubbishBins
c002,000148.jpg,112,TrafficSign
c003,000149.jpg,113,TrafficSign
c001,000150.jpg,114,TrafficSign
c001,000151.jpg,14,Crosswalk
c003,000152.jpg,115,RubbishBins
c003,000153.jpg,116,TrafficSign
c003,000154.jpg,117,Container
c001,000155.jpg,118,TrafficSign
c003,000156.jpg,119,Crosswalk
c003,000157.jpg,29,TrafficSign
c002,000158.jpg,8,TrafficSign
c002,000159.jpg,120,Container
c003,000160.jpg,2,Crosswalk
c002,000161.jpg,121,TrafficSign
c002,000162.jpg,122,Crosswalk
c003,000163.jpg,9,Container
c001,000164.jpg,3,Container
c003,000165.jpg,48,TrafficSign
c003,000166.jpg,123,TrafficSign
c004,000167.jpg,124,RubbishBins
c002,000168.jpg,125,TrafficSign
c004,000169.jpg,9,Container
c004,000170.jpg,126,Crosswalk
c003,000171.jpg,113,TrafficSign
c003,000172.jpg,127,TrafficSign
c001,000173.jpg,128,TrafficSign
c002,000174.jpg,70,Container
c003,000175.jpg,3,Container
c002,000176.jpg,129,TrafficSign
c003,000177.jpg,130,TrafficSign
c001,000178.jpg,131,TrafficSign
c004,000179.jpg,70,Container
c003,000180.jpg,132,TrafficSign
c001,000181.jpg,105,TrafficSign
c001,000182.jpg,133,Container
c003,000183.jpg,101,TrafficSign
c001,000184.jpg,104,Crosswalk
c004,000185.jpg,134,Crosswalk
c003,000186.jpg,135,Container
c003,000187.jpg,136,TrafficSign
c004,000188.jpg,137,RubbishBins
c003,000189.jpg,138,Crosswalk
c002,000190.jpg,9,Container
c002,000191.jpg,9,Container
c001,000192.jpg,139,TrafficSign
c003,000193.jpg,140,TrafficSign
c004,000194.jpg,87,Crosswalk
c004,000195.jpg,60,Crosswalk
c002,000196.jpg,99,TrafficSign
c004,000197.jpg,141,RubbishBins
c001,000198.jpg,70,Container
c001,000199.jpg,103,TrafficSign
c002,000200.jpg,142,TrafficSign
c004,000201.jpg,143,Crosswalk
c003,000202.jpg,118,TrafficSign
c003,000203.jpg,74,TrafficSign
c002,000204.jpg,144,TrafficSign
c003,000205.jpg,145,TrafficSign
c002,000206.jpg,146,TrafficSign
c003,000207.jpg,147,TrafficSign
c003,000208.jpg,32,Container
c002,000209.jpg,148,TrafficSign
c001,000210.jpg,42,Container
c003,000211.jpg,149,Container
c003,000212.jpg,150,TrafficSign
c001,000213.jpg,151,TrafficSign
c002,000214.jpg,32,Container
c002,000215.jpg,152,TrafficSign
c003,000216.jpg,153,TrafficSign
c003,000217.jpg,154,TrafficSign
c002,000218.jpg,128,TrafficSign
c003,000219.jpg,155,TrafficSign
c003,000220.jpg,156,Container
c003,000221.jpg,26,TrafficSign
c001,000222.jpg,157,Crosswalk
c004,000223.jpg,117,Container
c004,000224.jpg,158,RubbishBins
c002,000225.jpg,159,TrafficSign
c002,000226.jpg,160,TrafficSign
c002,000227.jpg,161,TrafficSign
c002,000228.jpg,162,TrafficSign
c003,000229.jpg,142,TrafficSign
c001,000230.jpg,163,Container
c003,000231.jpg,60,Crosswalk
c001,000232.jpg,164,Crosswalk
c003,000233.jpg,165,TrafficSign
c001,000234.jpg,162,TrafficSign
c002,000235.jpg,133,Container
c003,000236.jpg,166,TrafficSign
c002,000237.jpg,167,TrafficSign
c003,000238.jpg,168,Container
c003,000239.jpg,153,TrafficSign
c003,000240.jpg,169,TrafficSign
c003,000241.jpg,170,TrafficSign
c003,000242.jpg,171,TrafficSign
c004,000243.jpg,172,Crosswalk
c004,000244.jpg,173,Crosswalk
c001,000245.jpg,23,Container
c003,000246.jpg,174,TrafficSign
c003,000247.jpg,175,TrafficSign
c004,000248.jpg,9,Container
c002,000249.jpg,176,TrafficSign
c001,000250.jpg,81,Crosswalk
c001,000251.jpg,137,RubbishBins
c003,000252.jpg,177,TrafficSign
c003,000253.jpg,34,TrafficSign
c002,000254.jpg,178,TrafficSign
c004,000255.jpg,179,RubbishBins
c001,000256.jpg,180,Crosswalk
c001,000257.jpg,3,Container
c002,000258.jpg,181,Crosswalk
c004,000259.jpg,182,Crosswalk
c003,000260.jpg,183,Crosswalk
c003,000261.jpg,20,TrafficSign
c003,000262.jpg,184,TrafficSign
c002,000263.jpg,27,Container
c001,000264.jpg,185,Crosswalk
c002,000265.jpg,186,Crosswalk
c003,000266.jpg,187,TrafficSign
c002,000267.jpg,188,Container
c003,000268.jpg,189,TrafficSign
c003,000269.jpg,190,RubbishBins
c002,000270.jpg,40,Container
c003,000271.jpg,191,Crosswalk
c003,000272.jpg,192,Container
c003,000273.jpg,4,Container
c003,000274.jpg,193,TrafficSign
c002,000275.jpg,109,TrafficSign
c003,000276.jpg,194,TrafficSign
c003,000277.jpg,17,Container
c002,000278.jpg,195,TrafficSign
c002,000279.jpg,62,TrafficSign
c003,000280.jpg,196,Crosswalk
c001,000281.jpg,197,Container
c003,000282.jpg,34,TrafficSign
c003,000283.jpg,198,Container
c001,000284.jpg,55,Container
c001,000285.jpg,197,Container
c001,000286.jpg,199,TrafficSign
c001,000287.jpg,18,RubbishBins
c002,000288.jpg,200,Crosswalk
c003,000289.jpg,72,Container
c001,000290.jpg,36,RubbishBins
c002,000291.jpg,201,Container
c001,000292.jpg,202,Crosswalk
c002,000293.jpg,196,Crosswalk
c003,000294.jpg,42,Container
c001,000295.jpg,68,Container
c002,000296.jpg,40,Container
c004,000297.jpg,203,Container
c001,000298.jpg,204,TrafficSign
c003,000299.jpg,205,TrafficSign
c001,000300.jpg,51,TrafficSign
c003,000301.jpg,206,TrafficSign
c003,000302.jpg,156,Container
c002,000303.jpg,38,RubbishBins
c003,000304.jpg,164,Crosswalk
c001,000305.jpg,42,Container
c002,000306.jpg,172,Crosswalk
c001,000307.jpg,207,Container
c003,000308.jpg,12,TrafficSign
c003,000309.jpg,204,TrafficSign
c002,000310.jpg,208,Crosswalk
c003,000311.jpg,154,TrafficSign
c003,000312.jpg,209,Crosswalk
c004,000313.jpg,19,RubbishBins
c003,000314.jpg,59,TrafficSign
c002,000315.jpg,210,TrafficSign
c004,000316.jpg,211,Crosswalk
c001,000317.jpg,180,Crosswalk
c002,000318.jpg,212,TrafficSign
c001,000319.jpg,127,TrafficSign
c002,000320.jpg,213,Crosswalk
c003,000321.jpg,214,TrafficSign
c001,000322.jpg,215,TrafficSign
c003,000323.jpg,216,TrafficSign
c001,000324.jpg,217,TrafficSign
c003,000325.jpg,145,TrafficSign
c003,000326.jpg,178,TrafficSign
c002,000327.jpg,57,RubbishBins
c001,000328.jpg,218,Container
c002,000329.jpg,28,Crosswalk
c001,000330.jpg,219,Crosswalk
c002,000331.jpg,55,Container
c001,000332.jpg,220,Crosswalk
c002,000333.jpg,221,Crosswalk
c003,000334.jpg,222,TrafficSign
c001,000335.jpg,134,Crosswalk
c003,000336.jpg,94,TrafficSign
c002,000337.jpg,24,TrafficSign
c001,000338.jpg,223,Crosswalk
c003,000339.jpg,59,TrafficSign
c002,000340.jpg,224,TrafficSign
c001,000341.jpg,94,TrafficSign
c003,000342.jpg,105,TrafficSign
c002,000343.jpg,24,TrafficSign
c003,000344.jpg,225,TrafficSign
c003,000345.jpg,135,Container
c003,000346.jpg,60,Crosswalk
c003,000347.jpg,226,TrafficSign
c003,000348.jpg,227,Container
c001,000349.jpg,101,TrafficSign
c002,000350.jpg,228,TrafficSign
c001,000351.jpg,229,TrafficSign
c002,000352.jpg,207,Container
c002,000353.jpg,141,RubbishBins
c004,000354.jpg,230,Container
c002,000355.jpg,62,TrafficSign
c002,000356.jpg,219,Crosswalk
c001,000357.jpg,231,TrafficSign
c003,000358.jpg,232,TrafficSign
c002,000359.jpg,155,TrafficSign
c002,000360.jpg,233,TrafficSign
c001,000361.jpg,61,Container
c001,000362.jpg,44,TrafficSign
c003,000363.jpg,234,Crosswalk
c003,000364.jpg,235,TrafficSign
c002,000365.jpg,236,TrafficSign
c002,000366.jpg,237,TrafficSign
c003,000367.jpg,238,TrafficSign
c004,000368.jpg,239,RubbishBins
c004,000369.jpg,17,Container
c004,000370.jpg,156,Container
c002,000371.jpg,240,RubbishBins
c001,000372.jpg,157,Crosswalk
c001,000373.jpg,17,Container
c001,000374.jpg,241,Container
c002,000375.jpg,242,Container
c003,000376.jpg,243,TrafficSign
c003,000377.jpg,15,TrafficSign
c001,000378.jpg,212,TrafficSign
c003,000379.jpg,244,TrafficSign
c002,000380.jpg,42,Container
c002,000381.jpg,245,Container
c001,000382.jpg,246,TrafficSign
c003,000383.jpg,136,TrafficSign
c001,000384.jpg,167,TrafficSign
c002,000385.jpg,247,Container
c003,000386.jpg,248,TrafficSign
c003,000387.jpg,249,Crosswalk
c003,000388.jpg,59,TrafficSign
c002,000389.jpg,197,Container
c001,000390.jpg,2,Crosswalk
c002,000391.jpg,241,Container
c003,000392.jpg,250,TrafficSign
c003,000393.jpg,77,TrafficSign
c002,000394.jpg,16,TrafficSign
c001,000395.jpg,21,TrafficSign
c003,000396.jpg,251,TrafficSign
c003,000397.jpg,252,TrafficSign
c001,000398.jpg,253,Container
c002,000399.jpg,91,TrafficSign
c002,000400.jpg,137,RubbishBins
c004,000401.jpg,254,Crosswalk
c003,000402.jpg,247,Container
c003,000403.jpg,40,Container
c003,000404.jpg,2,Crosswalk
c003,000405.jpg,255,TrafficSign
c002,000406.jpg,136,TrafficSign
c004,000407.jpg,32,Container
c003,000408.jpg,256,TrafficSign
c002,000409.jpg,257,RubbishBins
c001,000410.jpg,258,TrafficSign
c003,000411.jpg,121,TrafficSign
c002,000412.jpg,61,Container
c001,000413.jpg,124,RubbishBins
c001,000414.jpg,259,TrafficSign
c001,000415.jpg,253,Container
c002,000416.jpg,51,TrafficSign
c003,000417.jpg,260,TrafficSign
c001,000418.jpg,261,Crosswalk
c002,000419.jpg,262,TrafficSign
c001,000420.jpg,263,TrafficSign
c003,000421.jpg,264,TrafficSign
c004,000422.jpg,43,Container
c003,000423.jpg,251,TrafficSign
c001,000424.jpg,265,Crosswalk
c001,000425.jpg,6,Crosswalk
c002,000426.jpg,247,Container
c003,000427.jpg,87,Crosswalk
c003,000428.jpg,266,TrafficSign
c004,000429.jpg,267,Crosswalk
c003,000430.jpg,268,TrafficSign
c004,000431.jpg,61,Container
c002,000432.jpg,200,Crosswalk
c001,000433.jpg,87,Crosswalk
c004,000434.jpg,209,Crosswalk
c003,000435.jpg,4,Container
c004,000436.jpg,110,Container
c003,000437.jpg,44,TrafficSign
c003,000438.jpg,269,TrafficSign
c003,000439.jpg,210,TrafficSign
c003,000440.jpg,103,TrafficSign
c003,000441.jpg,270,Crosswalk
c003,000442.jpg,271,TrafficSign
c004,000443.jpg,270,Crosswalk
c001,000444.jpg,192,Container
c001,000445.jpg,65,TrafficSign
c002,000446.jpg,81,Crosswalk
c001,000447.jpg,198,Container
c003,000448.jpg,101,TrafficSign
c003,000449.jpg,272,TrafficSign
c003,000450.jpg,14,Crosswalk
c003,000451.jpg,273,TrafficSign
c002,000452.jpg,117,Container
c001,000453.jpg,8,TrafficSign
c003,000454.jpg,274,TrafficSign
c003,000455.jpg,49,TrafficSign
c002,000456.jpg,253,Container
c003,000457.jpg,235,TrafficSign
c004,000458.jpg,275,Crosswalk
c003,000459.jpg,276,Crosswalk
c004,000460.jpg,55,Container
c004,000461.jpg,85,Container
c002,000462.jpg,32,Container
c004,000463.jpg,9,Container
c003,000464.jpg,171,TrafficSign
c003,000465.jpg,217,TrafficSign
c003,000466.jpg,26,TrafficSign
c001,000467.jpg,6,Crosswalk
c001,000468.jpg,277,TrafficSign
c003,000469.jpg,171,TrafficSign
c004,000470.jpg,50,Container
c002,000471.jpg,43,Container
c004,000472.jpg,278,RubbishBins
c003,000473.jpg,105,TrafficSign
c003,000474.jpg,19,RubbishBins
c003,000475.jpg,86,TrafficSign
c001,000476.jpg,194,TrafficSign
c001,000477.jpg,241,Container
c001,000478.jpg,251,TrafficSign
c002,000479.jpg,279,TrafficSign
c001,000480.jpg,95,TrafficSign
c003,000481.jpg,87,Crosswalk
c003,000482.jpg,280,TrafficSign
c004,000483.jpg,18,RubbishBins
c001,000484.jpg,281,TrafficSign
c003,000485.jpg,282,TrafficSign
c001,000486.jpg,247,Container
c001,000487.jpg,283,TrafficSign
c002,000488.jpg,166,TrafficSign
c002,000489.jpg,175,TrafficSign
c002,000490.jpg,263,TrafficSign
c002,000491.jpg,284,TrafficSign
c001,000492.jpg,188,Container
c002,000493.jpg,253,Container
c002,000494.jpg,219,Crosswalk
c002,000495.jpg,109,TrafficSign
c001,000496.jpg,177,TrafficSign
c002,000497.jpg,121,TrafficSign
c002,000498.jpg,38,RubbishBins
c001,000499.jpg,74,TrafficSign
c001,000500.jpg,285,Crosswalk
c004,000501.jpg,286,Crosswalk
c002,000502.jpg,127,TrafficSign
c001,000503.jpg,287,Container
c002,000504.jpg,19,RubbishBins
c001,000505.jpg,288,Container
c002,000506.jpg,70,Container
c001,000507.jpg,170,TrafficSign
c003,000508.jpg,42,Container
c002,000509.jpg,26,TrafficSign
c001,000510.jpg,164,Crosswalk
c001,000511.jpg,64,TrafficSign
c003,000512.jpg,289,TrafficSign
c001,000513.jpg,290,Container
c001,000514.jpg,42,Container
c004,000515.jpg,197,Container
c003,000516.jpg,129,TrafficSign
c002,000517.jpg,76,Container
c002,000518.jpg,291,Container
c001,000519.jpg,119,Crosswalk
c001,000520.jpg,292,TrafficSign
c002,000521.jpg,238,TrafficSign
c003,000522.jpg,293,TrafficSign
c003,000523.jpg,38,RubbishBins
c002,000524.jpg,50,Container
c002,000525.jpg,294,TrafficSign
c002,000526.jpg,55,Container
c003,000527.jpg,32,Container
c002,000528.jpg,70,Container
c002,000529.jpg,295,TrafficSign
c004,000530.jpg,197,Container
c002,000531.jpg,135,Container
c001,000532.jpg,296,TrafficSign
c001,000533.jpg,241,Container
c002,000534.jpg,100,TrafficSign
c001,000535.jpg,154,TrafficSign
c002,000536.jpg,184,TrafficSign
c002,000537.jpg,227,Container
c003,000538.jpg,34,TrafficSign
c002,000539.jpg,126,Crosswalk
c003,000540.jpg,58,TrafficSign
c002,000541.jpg,156,Container
c001,000542.jpg,297,Crosswalk
c003,000543.jpg,147,TrafficSign
c001,000544.jpg,87,Crosswalk
c004,000545.jpg,3,Container
c003,000546.jpg,91,TrafficSign
c002,000547.jpg,65,TrafficSign
c003,000548.jpg,276,Crosswalk
c002,000549.jpg,298,TrafficSign
c002,000550.jpg,107,TrafficSign
c002,000551.jpg,32,Container
c003,000552.jpg,94,TrafficSign
c003,000553.jpg,294,TrafficSign
c002,000554.jpg,193,TrafficSign
c003,000555.jpg,55,Container
c001,000556.jpg,299,RubbishBins
c002,000557.jpg,22,Container
c003,000558.jpg,300,TrafficSign
c003,000559.jpg,99,TrafficSign
c001,000560.jpg,301,TrafficSign
c001,000561.jpg,302,Crosswalk
c003,000562.jpg,272,TrafficSign
c001,000563.jpg,120,Container
c002,000564.jpg,303,Crosswalk
c002,000565.jpg,304,TrafficSign
c002,000566.jpg,144,TrafficSign
c002,000567.jpg,134,Crosswalk
c002,000568.jpg,133,Container
c003,000569.jpg,62,TrafficSign
c001,000570.jpg,198,Container
c001,000571.jpg,58,TrafficSign
c001,000572.jpg,197,Container
c002,000573.jpg,243,TrafficSign
c003,000574.jpg,296,TrafficSign
c001,000575.jpg,110,Container
c003,000576.jpg,87,Crosswalk
c002,000577.jpg,101,TrafficSign
c001,000578.jpg,305,TrafficSign
c004,000579.jpg,168,Container
c003,000580.jpg,181,Crosswalk
c004,000581.jpg,306,Crosswalk
c001,000582.jpg,69,TrafficSign
c001,000583.jpg,174,TrafficSign
c002,000584.jpg,164,Crosswalk
c001,000585.jpg,104,Crosswalk
c003,000586.jpg,307,TrafficSign
c002,000587.jpg,137,RubbishBins
c003,000588.jpg,308,TrafficSign
c001,000589.jpg,309,Container
c002,000590.jpg,310,TrafficSign
c001,000591.jpg,311,Crosswalk
c001,000592.jpg,312,TrafficSign
c002,000593.jpg,253,Container
c002,000594.jpg,211,Crosswalk
c003,000595.jpg,313,Crosswalk
c001,000596.jpg,163,Container
c002,000597.jpg,253,Container
c004,000598.jpg,211,Crosswalk
c003,000599.jpg,112,TrafficSign
c002,000600.jpg,9,Container
c003,000601.jpg,110,Container
c003,000602.jpg,314,Crosswalk
c002,000603.jpg,40,Container
c001,000604.jpg,282,TrafficSign
c001,000605.jpg,252,TrafficSign
c004,000606.jpg,315,Container
c003,000607.jpg,17,Container
c001,000608.jpg,316,TrafficSign
c001,000609.jpg,317,Crosswalk
c002,000610.jpg,9,Container
c003,000611.jpg,318,TrafficSign
c003,000612.jpg,10,TrafficSign
c001,000613.jpg,201,Container
c004,000614.jpg,191,Crosswalk
c003,000615.jpg,304,TrafficSign
c001,000616.jpg,319,TrafficSign
c001,000617.jpg,245,Container
c003,000618.jpg,320,Crosswalk
c003,000619.jpg,321,TrafficSign
c002,000620.jpg,164,Crosswalk
c001,000621.jpg,322,TrafficSign
c002,000622.jpg,265,Crosswalk
c003,000623.jpg,116,TrafficSign
c001,000624.jpg,17,Container
c002,000625.jpg,18,RubbishBins
c004,000626.jpg,157,Crosswalk
c002,000627.jpg,51,TrafficSign
c004,000628.jpg,211,Crosswalk
c001,000629.jpg,116,TrafficSign
c003,000630.jpg,207,Container
c002,000631.jpg,65,TrafficSign
c002,000632.jpg,176,TrafficSign
c003,000633.jpg,272,TrafficSign
c004,000634.jpg,27,Container
c004,000635.jpg,323,RubbishBins
c002,000636.jpg,34,TrafficSign
c003,000637.jpg,192,Container
c003,000638.jpg,324,Crosswalk
c001,000639.jpg,218,Container
c003,000640.jpg,228,TrafficSign
c002,000641.jpg,325,TrafficSign
c002,000642.jpg,86,TrafficSign
c003,000643.jpg,266,TrafficSign
c002,000644.jpg,271,TrafficSign
c003,000645.jpg,157,Crosswalk
c003,000646.jpg,81,Crosswalk
c001,000647.jpg,326,TrafficSign
c001,000648.jpg,155,TrafficSign
c003,000649.jpg,14,Crosswalk
c002,000650.jpg,291,Container
c002,000651.jpg,327,TrafficSign
c003,000652.jpg,84,Crosswalk
c004,000653.jpg,328,Crosswalk
c003,000654.jpg,329,TrafficSign
c003,000655.jpg,164,Crosswalk
c003,000656.jpg,321,TrafficSign
c001,000657.jpg,101,TrafficSign
c003,000658.jpg,306,Crosswalk
c003,000659.jpg,330,TrafficSign
c003,000660.jpg,145,TrafficSign
c001,000661.jpg,331,Container
c001,000662.jpg,181,Crosswalk
c003,000663.jpg,256,TrafficSign
c002,000664.jpg,138,Crosswalk
c003,000665.jpg,35,TrafficSign
c001,000666.jpg,9,Container
c003,000667.jpg,49,TrafficSign
c001,000668.jpg,332,Crosswalk
c001,000669.jpg,70,Container
c003,000670.jpg,241,Container
c001,000671.jpg,333,Crosswalk
c003,000672.jpg,334,TrafficSign
c003,000673.jpg,131,TrafficSign
c001,000674.jpg,216,TrafficSign
c004,000675.jpg,143,Crosswalk
c002,000676.jpg,335,TrafficSign
c002,000677.jpg,272,TrafficSign
c001,000678.jpg,336,Crosswalk
c003,000679.jpg,9,Container
c001,000680.jpg,267,Crosswalk
c002,000681.jpg,337,TrafficSign
c004,000682.jpg,249,Crosswalk
c003,000683.jpg,314,Crosswalk
c002,000684.jpg,248,TrafficSign
c001,000685.jpg,317,Crosswalk
c003,000686.jpg,110,Container
c003,000687.jpg,113,TrafficSign
c001,000688.jpg,338,TrafficSign
c003,000689.jpg,159,TrafficSign
c001,000690.jpg,339,Container
c001,000691.jpg,18,RubbishBins
c003,000692.jpg,27,Container
c002,000693.jpg,340,TrafficSign
c001,000694.jpg,223,Crosswalk
c003,000695.jpg,35,TrafficSign
c004,000696.jpg,9,Container
c003,000697.jpg,78,Crosswalk
c003,000698.jpg,246,TrafficSign
c001,000699.jpg,316,TrafficSign
c002,000700.jpg,87,Crosswalk
c003,000701.jpg,28,Crosswalk
c002,000702.jpg,26,TrafficSign
c003,000703.jpg,72,Container
c004,000704.jpg,53,Crosswalk
c002,000705.jpg,282,TrafficSign
c003,000706.jpg,297,Crosswalk
c001,000707.jpg,129,TrafficSign
c002,000708.jpg,50,Container
c003,000709.jpg,13,Crosswalk
c003,000710.jpg,83,TrafficSign
c004,000711.jpg,242,Container
c001,000712.jpg,134,Crosswalk
c002,000713.jpg,19,RubbishBins
c001,000714.jpg,234,Crosswalk
c002,000715.jpg,341,Crosswalk
c002,000716.jpg,335,TrafficSign
c004,000717.jpg,185,Crosswalk
c003,000718.jpg,160,TrafficSign
c003,000719.jpg,167,TrafficSign
c001,000720.jpg,342,TrafficSign
c004,000721.jpg,9,Container
c003,000722.jpg,37,TrafficSign
c004,000723.jpg,9,Container
c004,000724.jpg,343,Crosswalk
c001,000725.jpg,110,Container
c004,000726.jpg,22,Container
c002,000727.jpg,211,Crosswalk
c002,000728.jpg,146,TrafficSign
c001,000729.jpg,183,Crosswalk
c002,000730.jpg,44,TrafficSign
c003,000731.jpg,69,TrafficSign
c003,000732.jpg,341,Crosswalk
c002,000733.jpg,290,Container
c004,000734.jpg,344,Crosswalk
c002,000735.jpg,345,Crosswalk
c003,000736.jpg,346,TrafficSign
c001,000737.jpg,122,Crosswalk
c001,000738.jpg,127,TrafficSign
c003,000739.jpg,337,TrafficSign
c001,000740.jpg,335,TrafficSign
c004,000741.jpg,183,Crosswalk
c002,000742.jpg,108,TrafficSign
c003,000743.jpg,188,Container
c003,000744.jpg,295,TrafficSign
c002,000745.jpg,246,TrafficSign
c001,000746.jpg,122,Crosswalk
c001,000747.jpg,191,Crosswalk
c003,000748.jpg,285,Crosswalk
c001,000749.jpg,338,TrafficSign
c003,000750.jpg,184,TrafficSign
c002,000751.jpg,89,TrafficSign
c002,000752.jpg,271,TrafficSign
c002,000753.jpg,347,RubbishBins
c004,000754.jpg,4,Container
c003,000755.jpg,62,TrafficSign
c003,000756.jpg,333,Crosswalk
c003,000757.jpg,265,Crosswalk
c002,000758.jpg,348,TrafficSign
c002,000759.jpg,346,TrafficSign
c003,000760.jpg,55,Container
c001,000761.jpg,156,Container
c001,000762.jpg,255,TrafficSign
c001,000763.jpg,253,Container
c001,000764.jpg,291,Container
c003,000765.jpg,349,TrafficSign
c003,000766.jpg,307,TrafficSign
c004,000767.jpg,143,Crosswalk
c004,000768.jpg,156,Container
c001,000769.jpg,266,TrafficSign
c002,000770.jpg,244,TrafficSign
c002,000771.jpg,35,TrafficSign
c003,000772.jpg,64,TrafficSign
c001,000773.jpg,350,Container
c002,000774.jpg,277,TrafficSign
c003,000775.jpg,269,TrafficSign
c004,000776.jpg,50,Container
